donor,recipient,Year,fdi_total
PRT,GBR,2011,
PRT,GBR,2012,
PRT,GBR,2013,7.639
PRT,GBR,2014,8.25
PRT,GBR,2015,9.219
PRT,GBR,2016,8.982
PRT,GBR,2017,8.917
PRT,ITA,2011,
PRT,ITA,2012,
PRT,ITA,2013,2.679
PRT,ITA,2014,0.866
PRT,ITA,2015,0.633
PRT,ITA,2016,0.367
PRT,ITA,2017,0.834
PRT,JPN,2011,
PRT,JPN,2012,
PRT,JPN,2013,0.203
PRT,JPN,2014,0.287
PRT,JPN,2015,0.244
PRT,JPN,2016,0.26
PRT,JPN,2017,0.234
PRT,USA,2011,
PRT,USA,2012,
PRT,USA,2013,1.189
PRT,USA,2014,1.19
PRT,USA,2015,1.623
PRT,USA,2016,1.491
PRT,USA,2017,1.264
ESP,DEU,2013,7.445
ESP,DEU,2014,6.984
ESP,DEU,2015,7.258
ESP,DEU,2016,7.659
ESP,DEU,2017,8.183
ESP,FRA,2013,8.632
ESP,FRA,2014,8.519
ESP,FRA,2015,9.137
ESP,FRA,2016,9.019
ESP,FRA,2017,9.278
ESP,GBR,2013,11.932
ESP,GBR,2014,12.109
ESP,GBR,2015,12.688
ESP,GBR,2016,13.044
ESP,GBR,2017,13.558
ESP,ITA,2013,7.232
ESP,ITA,2014,7.105
ESP,ITA,2015,6.846
ESP,ITA,2016,5.924
ESP,ITA,2017,5.111
ESP,JPN,2013,0.253
ESP,JPN,2014,0.311
ESP,JPN,2015,0.36
ESP,JPN,2016,0.456
ESP,JPN,2017,0.449
ESP,USA,2013,5.234
ESP,USA,2014,4.251
ESP,USA,2015,4.255
ESP,USA,2016,4.191
ESP,USA,2017,4.422
CHE,CAN,2014,4.036
CHE,CAN,2015,4.341
CHE,CAN,2016,3.233
CHE,CAN,2017,3.275
CHE,DEU,2014,4.047
CHE,DEU,2015,3.697
CHE,DEU,2016,2.906
CHE,DEU,2017,3.141
CHE,FRA,2014,5.529
CHE,FRA,2015,4.916
CHE,FRA,2016,3.612
CHE,FRA,2017,3.858
CHE,GBR,2014,3.064
CHE,GBR,2015,3.854
CHE,GBR,2016,4.579
CHE,GBR,2017,5.36
CHE,ITA,2014,0.666
CHE,ITA,2015,0.702
CHE,ITA,2016,0.618
CHE,ITA,2017,0.577
CHE,JPN,2014,1.189
CHE,JPN,2015,1.252
CHE,JPN,2016,2.245
CHE,JPN,2017,2.251
CHE,USA,2014,37.839
CHE,USA,2015,35.593
CHE,USA,2016,41.284
CHE,USA,2017,40.597
TUR,CAN,2016,0.593
TUR,CAN,2017,0.713
TUR,DEU,2016,10.364
TUR,DEU,2017,10.416
TUR,FRA,2016,4.16
TUR,FRA,2017,4.06
TUR,GBR,2016,8.594
TUR,GBR,2017,8.526
TUR,ITA,2016,2.835
TUR,ITA,2017,2.819
TUR,JPN,2016,2.049
TUR,JPN,2017,2.429
TUR,USA,2016,4.082
TUR,USA,2017,4.39
GBR,CAN,2013,1.772
GBR,CAN,2015,1.639
GBR,CAN,2017,1.603
GBR,DEU,2013,5.605
GBR,DEU,2014,4.844
GBR,DEU,2015,4.89
GBR,DEU,2016,4.988
GBR,DEU,2017,3.773
GBR,FRA,2013,7.812
GBR,FRA,2014,7.354
GBR,FRA,2015,6.741
GBR,FRA,2016,4.996
GBR,FRA,2017,5.773
GBR,GBR,2013,0
GBR,GBR,2014,0
GBR,GBR,2015,0
GBR,GBR,2016,0
GBR,GBR,2017,0
GBR,ITA,2013,0.9
GBR,ITA,2014,0.429
GBR,ITA,2015,0.741
GBR,ITA,2016,0.422
GBR,ITA,2017,0.721
GBR,JPN,2013,3.7
GBR,JPN,2014,3.697
GBR,JPN,2015,3.996
GBR,JPN,2016,3.876
GBR,JPN,2017,4.165
GBR,USA,2013,28.22
GBR,USA,2014,24.477
GBR,USA,2015,29.988
GBR,USA,2016,25.687
GBR,USA,2017,23.586
USA,CAN,2011,10.158
USA,CAN,2012,9.524
USA,CAN,2013,9.778
USA,CAN,2014,11.138
USA,CAN,2015,11.768
USA,CAN,2016,12.153
USA,CAN,2017,13.011
USA,DEU,2011,10.32
USA,DEU,2012,10.566
USA,DEU,2013,10.441
USA,DEU,2014,11.134
USA,DEU,2015,10.641
USA,DEU,2016,9.858
USA,DEU,2017,10.075
USA,FRA,2011,8.576
USA,FRA,2012,8.769
USA,FRA,2013,7.851
USA,FRA,2014,7.412
USA,FRA,2015,7.616
USA,FRA,2016,7.228
USA,FRA,2017,7.491
USA,GBR,2011,21.099
USA,GBR,2012,22.479
USA,GBR,2013,21.402
USA,GBR,2014,17.668
USA,GBR,2015,16.66
USA,GBR,2016,15.198
USA,GBR,2017,15.274
USA,ITA,2011,1.249
USA,ITA,2012,1.332
USA,ITA,2013,1.153
USA,ITA,2014,1.123
USA,ITA,2015,1.026
USA,ITA,2016,0.936
USA,ITA,2017,0.886
USA,JPN,2011,11.397
USA,JPN,2012,11.708
USA,JPN,2013,12.937
USA,JPN,2014,12.666
USA,JPN,2015,12.044
USA,JPN,2016,11.215
USA,JPN,2017,11.846
USA,USA,2011,3.729
USA,USA,2012,3.622
USA,USA,2013,2.967
USA,USA,2014,2.982
USA,USA,2015,2.498
USA,USA,2016,1.95
USA,USA,2017,1.877
CHL,CAN,2009,5.576
CHL,CAN,2010,4.707
CHL,CAN,2011,6.368
CHL,CAN,2012,7.552
CHL,CAN,2013,9.258
CHL,CAN,2014,10.169
CHL,CAN,2015,9.669
CHL,CAN,2016,10.029
CHL,CAN,2017,9.702
CHL,DEU,2009,0.446
CHL,DEU,2010,0.363
CHL,DEU,2011,0.268
CHL,DEU,2012,0.361
CHL,DEU,2013,0.665
CHL,DEU,2014,0.323
CHL,DEU,2015,0.168
CHL,DEU,2016,0.234
CHL,DEU,2017,0.257
CHL,FRA,2009,1.038
CHL,FRA,2010,1.022
CHL,FRA,2011,0.995
CHL,FRA,2012,0.609
CHL,FRA,2013,0.637
CHL,FRA,2014,0.627
CHL,FRA,2015,0.548
CHL,FRA,2016,0.457
CHL,FRA,2017,0.514
CHL,GBR,2009,0.761
CHL,GBR,2010,0.656
CHL,GBR,2011,1.288
CHL,GBR,2012,1.791
CHL,GBR,2013,2.406
CHL,GBR,2014,2.775
CHL,GBR,2015,3.163
CHL,GBR,2016,2.516
CHL,GBR,2017,3.243
CHL,ITA,2009,0.747
CHL,ITA,2010,0.844
CHL,ITA,2011,1.012
CHL,ITA,2012,0.572
CHL,ITA,2013,0.409
CHL,ITA,2014,0.513
CHL,ITA,2015,0.856
CHL,ITA,2016,1.144
CHL,ITA,2017,2.863
CHL,JPN,2009,0.765
CHL,JPN,2010,1.911
CHL,JPN,2011,2.311
CHL,JPN,2012,2.288
CHL,JPN,2013,2.465
CHL,JPN,2014,2.398
CHL,JPN,2015,1.887
CHL,JPN,2016,1.758
CHL,JPN,2017,1.862
CHL,USA,2009,13.083
CHL,USA,2010,11.662
CHL,USA,2011,14.071
CHL,USA,2012,15.813
CHL,USA,2013,15.357
CHL,USA,2014,14.958
CHL,USA,2015,13.754
CHL,USA,2016,13.501
CHL,USA,2017,11.56
EST,CAN,2013,0.332
EST,CAN,2014,0.351
EST,CAN,2015,0.265
EST,CAN,2016,0.339
EST,CAN,2017,0.352
EST,DEU,2013,3.653
EST,DEU,2014,3.552
EST,DEU,2015,3.034
EST,DEU,2016,2.978
EST,DEU,2017,2.852
EST,FRA,2013,1.741
EST,FRA,2014,1.447
EST,FRA,2015,2.003
EST,FRA,2016,2.25
EST,FRA,2017,2.401
EST,GBR,2013,1.822
EST,GBR,2014,1.949
EST,GBR,2015,2.109
EST,GBR,2016,1.875
EST,GBR,2017,1.917
EST,ITA,2013,0.467
EST,ITA,2014,0.658
EST,ITA,2015,0.694
EST,ITA,2016,0.873
EST,ITA,2017,0.752
EST,JPN,2013,0.675
EST,JPN,2014,0.525
EST,JPN,2015,0.688
EST,JPN,2016,0.692
EST,JPN,2017,0.678
EST,USA,2013,3.365
EST,USA,2014,3.298
EST,USA,2015,3.805
EST,USA,2016,3.584
EST,USA,2017,3.433
LVA,CAN,2005,0.048
LVA,CAN,2006,0.035
LVA,CAN,2007,0.04
LVA,CAN,2008,0.049
LVA,CAN,2009,0.124
LVA,CAN,2010,0.183
LVA,CAN,2011,0.096
LVA,CAN,2012,0.068
LVA,CAN,2013,0.026
LVA,CAN,2014,0.169
LVA,CAN,2015,0.118
LVA,CAN,2016,0.089
LVA,CAN,2017,0.082
LVA,DEU,2005,12.647
LVA,DEU,2006,11.066
LVA,DEU,2007,8.505
LVA,DEU,2008,6.313
LVA,DEU,2009,6.392
LVA,DEU,2010,5.156
LVA,DEU,2011,4.872
LVA,DEU,2012,4.826
LVA,DEU,2013,4.728
LVA,DEU,2014,5.896
LVA,DEU,2015,5.377
LVA,DEU,2016,4.51
LVA,DEU,2017,4.457
LVA,FRA,2005,0.457
LVA,FRA,2006,0.298
LVA,FRA,2007,0.362
LVA,FRA,2008,0.837
LVA,FRA,2009,0.669
LVA,FRA,2010,0.66
LVA,FRA,2011,0.534
LVA,FRA,2012,0.526
LVA,FRA,2013,0.51
LVA,FRA,2014,0.652
LVA,FRA,2015,0.591
LVA,FRA,2016,0.674
LVA,FRA,2017,0.664
LVA,GBR,2005,2.14
LVA,GBR,2006,2.841
LVA,GBR,2007,2.505
LVA,GBR,2008,1.883
LVA,GBR,2009,1.982
LVA,GBR,2010,2.212
LVA,GBR,2011,2.853
LVA,GBR,2012,2.876
LVA,GBR,2013,2.895
LVA,GBR,2014,3.262
LVA,GBR,2015,3.693
LVA,GBR,2016,3.118
LVA,GBR,2017,2.978
LVA,ITA,2005,0.216
LVA,ITA,2006,0.298
LVA,ITA,2007,0.281
LVA,ITA,2008,0.406
LVA,ITA,2009,0.384
LVA,ITA,2010,0.538
LVA,ITA,2011,0.577
LVA,ITA,2012,0.487
LVA,ITA,2013,0.156
LVA,ITA,2014,0.217
LVA,ITA,2015,0.229
LVA,ITA,2016,0.711
LVA,ITA,2017,0.52
LVA,JPN,2005,0
LVA,JPN,2006,0
LVA,JPN,2007,0
LVA,JPN,2008,0
LVA,JPN,2009,0
LVA,JPN,2010,0
LVA,JPN,2011,0
LVA,JPN,2012,0
LVA,JPN,2013,0
LVA,JPN,2014,0
LVA,JPN,2015,0
LVA,JPN,2016,0.007
LVA,JPN,2017,0
LVA,USA,2005,6.612
LVA,USA,2006,5.858
LVA,USA,2007,4.447
LVA,USA,2008,3.901
LVA,USA,2009,3.778
LVA,USA,2010,3.189
LVA,USA,2011,2.938
LVA,USA,2012,2.476
LVA,USA,2013,1.366
LVA,USA,2014,1.2
LVA,USA,2015,1.13
LVA,USA,2016,1.444
LVA,USA,2017,0.993
LTU,CAN,2013,0.914
LTU,CAN,2014,0.796
LTU,CAN,2015,0.748
LTU,CAN,2016,0.734
LTU,CAN,2017,0.897
LTU,DEU,2013,10.073
LTU,DEU,2014,8.73
LTU,DEU,2015,9.236
LTU,DEU,2016,7.467
LTU,DEU,2017,7.297
LTU,FRA,2013,2.282
LTU,FRA,2014,2.35
LTU,FRA,2015,2.477
LTU,FRA,2016,2.588
LTU,FRA,2017,3.375
LTU,GBR,2013,1.745
LTU,GBR,2014,2.916
LTU,GBR,2015,2.959
LTU,GBR,2016,1.738
LTU,GBR,2017,1.446
LTU,ITA,2013,0.111
LTU,ITA,2014,0.1
LTU,ITA,2015,0.069
LTU,ITA,2016,0.2
LTU,ITA,2017,0.2
LTU,JPN,2013,
LTU,JPN,2017,0.002
LTU,USA,2013,1.056
LTU,USA,2014,1.214
LTU,USA,2015,1.46
LTU,USA,2016,1.564
LTU,USA,2017,2.089
AUS,CAN,2009,2.496
AUS,CAN,2010,2.869
AUS,CAN,2011,3.476
AUS,CAN,2012,3.548
AUS,CAN,2013,2.636
AUS,CAN,2014,3.307
AUS,CAN,2015,3.371
AUS,CAN,2016,3.567
AUS,CAN,2017,4.171
AUS,DEU,2009,3.697
AUS,DEU,2010,3.24
AUS,DEU,2011,2.58
AUS,DEU,2012,2.299
AUS,DEU,2013,2.097
AUS,DEU,2014,2.3
AUS,DEU,2015,2.31
AUS,DEU,2016,2.452
AUS,DEU,2017,2.806
AUS,FRA,2009,2.658
AUS,FRA,2010,2.5
AUS,FRA,2011,1.313
AUS,FRA,2012,1.17
AUS,FRA,2013,0.86
AUS,FRA,2014,0.835
AUS,FRA,2015,0.868
AUS,FRA,2016,0.768
AUS,FRA,2017,0.74
AUS,GBR,2009,12.444
AUS,GBR,2010,10.35
AUS,GBR,2011,12.103
AUS,GBR,2012,12.329
AUS,GBR,2013,12.334
AUS,GBR,2014,11.449
AUS,GBR,2015,8.789
AUS,GBR,2016,9.369
AUS,GBR,2017,9.796
AUS,ITA,2009,0.096
AUS,ITA,2010,0.111
AUS,ITA,2011,
AUS,ITA,2012,0.098
AUS,ITA,2013,0.141
AUS,ITA,2014,0.137
AUS,ITA,2015,
AUS,ITA,2016,0.075
AUS,ITA,2017,0.082
AUS,JPN,2009,9.316
AUS,JPN,2010,9.85
AUS,JPN,2011,10.041
AUS,JPN,2012,10.871
AUS,JPN,2013,10.555
AUS,JPN,2014,10.384
AUS,JPN,2015,11.771
AUS,JPN,2016,11.422
AUS,JPN,2017,10.896
AUS,USA,2009,20.041
AUS,USA,2010,21.271
AUS,USA,2011,21.139
AUS,USA,2012,22.169
AUS,USA,2013,23.706
AUS,USA,2014,23.792
AUS,USA,2015,24.84
AUS,USA,2016,24.21
AUS,USA,2017,22.367
SVK,CAN,2013,0.049
SVK,CAN,2014,0.056
SVK,CAN,2015,0.044
SVK,CAN,2016,0.053
SVK,CAN,2017,0.064
SVK,DEU,2013,7.805
SVK,DEU,2014,8.556
SVK,DEU,2015,6.685
SVK,DEU,2016,5.602
SVK,DEU,2017,6.387
SVK,FRA,2013,2.251
SVK,FRA,2014,2.342
SVK,FRA,2015,1.993
SVK,FRA,2016,1.853
SVK,FRA,2017,1.964
SVK,GBR,2013,0.922
SVK,GBR,2014,1.087
SVK,GBR,2015,1.069
SVK,GBR,2016,1.146
SVK,GBR,2017,2.345
SVK,ITA,2013,9.885
SVK,ITA,2014,6.415
SVK,ITA,2015,7.389
SVK,ITA,2016,4.857
SVK,ITA,2017,4.697
SVK,JPN,2013,0.1
SVK,JPN,2014,0.088
SVK,JPN,2015,0.096
SVK,JPN,2016,0.152
SVK,JPN,2017,0.224
SVK,USA,2013,0.245
SVK,USA,2014,0.613
SVK,USA,2015,0.72
SVK,USA,2017,0.645
SWE,CAN,2013,1.578
SWE,CAN,2014,0.873
SWE,CAN,2015,1.135
SWE,CAN,2016,0.778
SWE,CAN,2017,0.519
SWE,DEU,2013,6.557
SWE,DEU,2014,7.492
SWE,DEU,2015,9.546
SWE,DEU,2016,9.01
SWE,DEU,2017,9.01
SWE,FRA,2013,1.33
SWE,FRA,2014,1.229
SWE,FRA,2015,1.744
SWE,FRA,2016,1.668
SWE,FRA,2017,2.214
SWE,GBR,2013,11.245
SWE,GBR,2014,12.339
SWE,GBR,2015,12.93
SWE,GBR,2016,11.986
SWE,GBR,2017,14.129
SWE,ITA,2013,0.356
SWE,ITA,2014,0.289
SWE,ITA,2015,0.27
SWE,ITA,2016,0.312
SWE,ITA,2017,0.328
SWE,JPN,2013,1.087
SWE,JPN,2014,0.823
SWE,JPN,2015,0.966
SWE,JPN,2016,0.968
SWE,JPN,2017,1.299
SWE,USA,2013,8.774
SWE,USA,2014,6.975
SWE,USA,2015,6.264
SWE,USA,2016,8.424
SWE,USA,2017,6.836
ISR,CAN,2011,6.261
ISR,CAN,2012,5.916
ISR,CAN,2013,5.42
ISR,CAN,2014,6.07
ISR,CAN,2015,3.986
ISR,CAN,2016,3.568
ISR,CAN,2017,3.646
ISR,DEU,2011,0.082
ISR,DEU,2012,0.066
ISR,DEU,2013,0.284
ISR,DEU,2014,0.452
ISR,DEU,2015,0.471
ISR,DEU,2016,0.455
ISR,DEU,2017,0.407
ISR,FRA,2011,1.499
ISR,FRA,2012,0.493
ISR,FRA,2013,0.448
ISR,FRA,2014,0.578
ISR,FRA,2015,0.835
ISR,FRA,2016,0.794
ISR,FRA,2017,0.637
ISR,GBR,2011,2.279
ISR,GBR,2012,2.063
ISR,GBR,2013,3.166
ISR,GBR,2014,2.669
ISR,GBR,2015,2.28
ISR,GBR,2016,2.272
ISR,GBR,2017,2.136
ISR,ITA,2011,
ISR,ITA,2012,
ISR,ITA,2013,
ISR,ITA,2014,
ISR,ITA,2015,
ISR,ITA,2016,
ISR,ITA,2017,
ISR,JPN,2012,0.058
ISR,JPN,2013,0.063
ISR,JPN,2014,0.14
ISR,JPN,2015,0
ISR,JPN,2016,0.334
ISR,JPN,2017,1.135
ISR,USA,2011,23.92
ISR,USA,2012,20.46
ISR,USA,2013,18.292
ISR,USA,2014,17.072
ISR,USA,2015,16.97
ISR,USA,2016,17.379
ISR,USA,2017,16.341
SVN,DEU,2017,14.549
SVN,FRA,2017,4.894
SVN,GBR,2017,2.626
SVN,ITA,2017,9.454
SVN,JPN,2017,2.325
SVN,USA,2017,13.252
MEX,CAN,2009,3.355
MEX,CAN,2010,3.966
MEX,CAN,2011,3.968
MEX,CAN,2012,4.119
MEX,CAN,2013,3.782
MEX,CAN,2014,4.101
MEX,CAN,2015,4.147
MEX,CAN,2016,3.749
MEX,CAN,2017,3.676
MEX,DEU,2009,2.159
MEX,DEU,2010,1.124
MEX,DEU,2011,1.218
MEX,DEU,2012,2.46
MEX,DEU,2013,2.399
MEX,DEU,2014,2.632
MEX,DEU,2015,2.455
MEX,DEU,2016,2.572
MEX,DEU,2017,3.157
MEX,FRA,2009,1.279
MEX,FRA,2010,1.162
MEX,FRA,2011,1.026
MEX,FRA,2012,1.094
MEX,FRA,2013,0.975
MEX,FRA,2014,1.179
MEX,FRA,2015,1.229
MEX,FRA,2016,1.23
MEX,FRA,2017,1.197
MEX,GBR,2009,5.046
MEX,GBR,2010,8.803
MEX,GBR,2011,6.898
MEX,GBR,2012,7.507
MEX,GBR,2013,4.744
MEX,GBR,2014,4.689
MEX,GBR,2015,4.416
MEX,GBR,2016,4.557
MEX,GBR,2017,4.861
MEX,ITA,2009,0.35
MEX,ITA,2010,0.302
MEX,ITA,2011,0.309
MEX,ITA,2012,0.352
MEX,ITA,2013,0.347
MEX,ITA,2014,0.406
MEX,ITA,2015,0.404
MEX,ITA,2016,0.383
MEX,ITA,2017,0.485
MEX,JPN,2009,2.294
MEX,JPN,2010,1.711
MEX,JPN,2011,1.642
MEX,JPN,2012,2.064
MEX,JPN,2013,2.24
MEX,JPN,2014,2.563
MEX,JPN,2015,2.652
MEX,JPN,2016,2.888
MEX,JPN,2017,2.575
MEX,USA,2009,52.1
MEX,USA,2010,50.665
MEX,USA,2011,47.736
MEX,USA,2012,44.072
MEX,USA,2013,43.497
MEX,USA,2014,43.068
MEX,USA,2015,43.008
MEX,USA,2016,42.006
MEX,USA,2017,44.009
AUS,CHN,2009,8125.224
AUS,CHN,2010,13119.219
AUS,CHN,2011,14717.48
AUS,CHN,2012,17220.604
AUS,CHN,2013,20712.766
AUS,CHN,2014,26134.033
AUS,CHN,2015,26100.679
AUS,CHN,2016,28015.195
AUS,CHN,2017,31735.434
AUS,CHN,2009,1.849
AUS,CHN,2010,2.489
AUS,CHN,2011,2.651
AUS,CHN,2012,2.799
AUS,CHN,2013,3.635
AUS,CHN,2014,4.642
AUS,CHN,2015,4.854
AUS,CHN,2016,4.857
AUS,CHN,2017,4.792
AUT,CHN,2012,715.04
AUT,CHN,2013,759.895
AUT,CHN,2014,661.684
AUT,CHN,2015,484.486
AUT,CHN,2016,375.25
AUT,CHN,2017,471.336
AUT,CHN,2012,0.434
AUT,CHN,2013,0.425
AUT,CHN,2014,0.376
AUT,CHN,2015,0.303
AUT,CHN,2016,0.247
AUT,CHN,2017,0.244
BEL,CHN,2013,-1028.824
BEL,CHN,2014,-1946.202
BEL,CHN,2015,-1020.142
BEL,CHN,2016,-412.143
BEL,CHN,2017,-682.418
CAN,CHN,2014,24320.2
CAN,CHN,2015,17449.422
CAN,CHN,2016,17149.028
CAN,CHN,2014,3.788
CAN,CHN,2015,3.085
CAN,CHN,2016,2.847
CZE,CHN,2013,135.719
CZE,CHN,2014,204.014
CZE,CHN,2015,370.698
CZE,CHN,2016,794.261
CZE,CHN,2017,1096.043
CZE,CHN,2013,0.101
CZE,CHN,2014,0.168
CZE,CHN,2015,0.318
CZE,CHN,2016,0.652
CZE,CHN,2017,0.733
DNK,CHN,2013,104.754
DNK,CHN,2014,174.633
DNK,CHN,2015,248.316
DNK,CHN,2016,383.677
DNK,CHN,2017,407.075
DNK,CHN,2013,0.111
DNK,CHN,2014,0.182
DNK,CHN,2015,0.27
DNK,CHN,2016,0.392
DNK,CHN,2017,0.344
FIN,CHN,2016,7790.661
FIN,CHN,2017,8967.378
FIN,CHN,2015,
FIN,CHN,2016,9.67
FIN,CHN,2017,10.177
FRA,CHN,2011,3090.674
FRA,CHN,2012,1176.781
FRA,CHN,2013,1670.114
FRA,CHN,2014,4072.091
FRA,CHN,2015,5456.723
FRA,CHN,2016,5931.274
FRA,CHN,2011,0.45
FRA,CHN,2012,0.173
FRA,CHN,2013,0.219
FRA,CHN,2014,0.582
FRA,CHN,2015,0.794
FRA,CHN,2016,0.841
DEU,CHN,2013,3163.702
DEU,CHN,2014,4537.092
DEU,CHN,2015,4935.22
DEU,CHN,2016,5574.997
DEU,CHN,2013,0.327
DEU,CHN,2014,0.528
DEU,CHN,2015,0.631
DEU,CHN,2016,0.722
GRC,CHN,2013,329.329
GRC,CHN,2014,13.725
GRC,CHN,2015,6.377
GRC,CHN,2016,10.092
GRC,CHN,2017,47.555
GRC,CHN,2013,1.274
GRC,CHN,2014,0.064
GRC,CHN,2015,0.026
GRC,CHN,2016,0.041
GRC,CHN,2017,0.146
HUN,CHN,2014,1269.18
HUN,CHN,2015,1946.611
HUN,CHN,2016,1941.645
HUN,CHN,2014,1.275
HUN,CHN,2015,2.294
HUN,CHN,2016,2.405
ISL,CHN,2013,132.215
ISL,CHN,2014,116.461
ISL,CHN,2015,125.74
ISL,CHN,2016,143.823
ISL,CHN,2017,124.037
ISL,CHN,2013,1.795
ISL,CHN,2014,1.476
ISL,CHN,2015,1.602
ISL,CHN,2016,1.461
ISL,CHN,2017,1.224
IRL,CHN,2012,-327.177
IRL,CHN,2013,-929.527
IRL,CHN,2014,-261.031
IRL,CHN,2015,
IRL,CHN,2016,
IRL,CHN,2017,
IRL,CHN,2016,
IRL,CHN,2017,
ITA,CHN,2013,267.672
ITA,CHN,2014,316.737
ITA,CHN,2015,623.802
ITA,CHN,2016,3556.581
ITA,CHN,2017,5347.039
ITA,CHN,2013,0.073
ITA,CHN,2014,0.09
ITA,CHN,2015,0.183
ITA,CHN,2016,1.026
ITA,CHN,2017,1.272
JPN,CHN,2017,1595.101
JPN,CHN,2017,0.797
KOR,CHN,2013,2375.416
KOR,CHN,2014,2691.96
KOR,CHN,2015,4655.904
KOR,CHN,2016,5576.661
KOR,CHN,2017,5661.07
LUX,CHN,2012,2116.095
LUX,CHN,2013,2541.718
LUX,CHN,2014,2401.49
LUX,CHN,2015,4997.278
LUX,CHN,2016,6110.467
LUX,CHN,2017,9456.704
LUX,CHN,2013,0.085
LUX,CHN,2014,0.074
LUX,CHN,2015,0.134
LUX,CHN,2016,0.161
LUX,CHN,2017,0.237
MEX,CHN,2009,175.66
MEX,CHN,2010,248.425
MEX,CHN,2011,370.806
MEX,CHN,2012,390.946
MEX,CHN,2013,388.405
MEX,CHN,2014,537.072
MEX,CHN,2015,633.964
MEX,CHN,2016,636.431
MEX,CHN,2017,730.514
MEX,CHN,2009,0.052
MEX,CHN,2010,0.064
MEX,CHN,2011,0.097
MEX,CHN,2012,0.085
MEX,CHN,2013,0.079
MEX,CHN,2014,0.109
MEX,CHN,2015,0.126
MEX,CHN,2016,0.134
MEX,CHN,2017,0.149
NLD,CHN,2014,1647.534
NLD,CHN,2015,2806.75
NLD,CHN,2016,2133.446
NLD,CHN,2017,2177.98
NLD,CHN,2014,0.152
NLD,CHN,2015,0.205
NLD,CHN,2016,0.153
NLD,CHN,2017,0.129
NZL,CHN,2013,237.782
NZL,CHN,2014,509.807
NZL,CHN,2016,
NZL,CHN,2017,898.832
NZL,CHN,2013,0.312
NZL,CHN,2014,0.665
NZL,CHN,2016,
NZL,CHN,2017,1.182
NOR,CHN,2013,5199.757
NOR,CHN,2014,4656.393
NOR,CHN,2015,813.507
NOR,CHN,2016,2630.626
NOR,CHN,2017,881.973
NOR,CHN,2013,2.725
NOR,CHN,2014,2.69
NOR,CHN,2015,0.552
NOR,CHN,2016,1.783
NOR,CHN,2017,0.612
POL,CHN,2013,641.069
POL,CHN,2014,501.948
POL,CHN,2015,927.507
POL,CHN,2016,707.202
POL,CHN,2017,826.514
POL,CHN,2013,0.294
POL,CHN,2014,0.237
POL,CHN,2015,0.499
POL,CHN,2016,0.375
POL,CHN,2017,0.347
PRT,CHN,2011,
PRT,CHN,2012,
PRT,CHN,2013,195.835
PRT,CHN,2014,1065.98
PRT,CHN,2015,1383.778
PRT,CHN,2016,1844.629
PRT,CHN,2017,2572.559
PRT,CHN,2011,
PRT,CHN,2012,
PRT,CHN,2013,0.18
PRT,CHN,2014,1.034
PRT,CHN,2015,1.321
PRT,CHN,2016,1.757
PRT,CHN,2017,1.974
SVK,CHN,2013,34.74
SVK,CHN,2014,38.04
SVK,CHN,2015,15.024
SVK,CHN,2016,26.745
SVK,CHN,2017,55.116
SVK,CHN,2013,0.06
SVK,CHN,2014,0.076
SVK,CHN,2015,0.033
SVK,CHN,2016,0.056
SVK,CHN,2017,0.099
ESP,CHN,2013,606.813
ESP,CHN,2014,335.092
ESP,CHN,2015,430.049
ESP,CHN,2016,1272.267
ESP,CHN,2017,1134.565
ESP,CHN,2013,0.095
ESP,CHN,2014,0.057
ESP,CHN,2015,0.08
ESP,CHN,2016,0.23
ESP,CHN,2017,0.179
SWE,CHN,2013,
SWE,CHN,2014,
SWE,CHN,2015,4535.352
SWE,CHN,2016,4868.796
SWE,CHN,2017,8964.79
SWE,CHN,2013,
SWE,CHN,2014,
SWE,CHN,2015,1.439
SWE,CHN,2016,1.57
SWE,CHN,2017,2.53
CHE,CHN,2014,
CHE,CHN,2015,
CHE,CHN,2016,
CHE,CHN,2017,
CHE,CHN,2014,
CHE,CHN,2015,
CHE,CHN,2016,
CHE,CHN,2017,
TUR,CHN,2016,492.44
TUR,CHN,2017,1591.57
TUR,CHN,2016,0.332
TUR,CHN,2017,0.819
GBR,CHN,2013,1553.03
GBR,CHN,2014,1789.392
GBR,CHN,2015,3350.622
GBR,CHN,2016,1874.769
GBR,CHN,2017,3102.283
GBR,CHN,2013,0.104
GBR,CHN,2014,0.111
GBR,CHN,2015,0.219
GBR,CHN,2016,0.127
GBR,CHN,2017,0.193
USA,CHN,2011,9172
USA,CHN,2012,14043
USA,CHN,2013,13312
USA,CHN,2014,29049
USA,CHN,2015,33050
USA,CHN,2016,58976
USA,CHN,2017,58048
USA,CHN,2011,0.377
USA,CHN,2012,0.543
USA,CHN,2013,0.488
USA,CHN,2014,0.986
USA,CHN,2015,0.985
USA,CHN,2016,1.566
USA,CHN,2017,1.442
CHL,CHN,2009,76.408
CHL,CHN,2010,75.216
CHL,CHN,2011,79.607
CHL,CHN,2012,84.096
CHL,CHN,2013,0.555
CHL,CHN,2014,1.712
CHL,CHN,2015,1.925
CHL,CHN,2016,0.002
CHL,CHN,2017,0.248
CHL,CHN,2009,0.059
CHL,CHN,2010,0.047
CHL,CHN,2011,0.046
CHL,CHN,2012,0.041
CHL,CHN,2013,0
CHL,CHN,2014,0.001
CHL,CHN,2015,0.001
CHL,CHN,2016,0
CHL,CHN,2017,0
